"","minutes","miles","uqlatlongid"
"70",34.5666666666667,12.177628858,"42.233391+-71.007153+42.365379+-71.103554"
"71",38.2333333333333,13.151317215,"42.233391+-71.007153+42.373362+-71.118956"
"72",41.4,14.218832593,"42.233391+-71.007153+42.3884+-71.119149"
"73",42.9833333333333,14.852009642,"42.233391+-71.007153+42.39674+-71.121815"
"74",5.3,0.244820174,"42.233844+-71.010995+42.233238+-71.007244"
"75",17.5833333333333,1.905123486,"42.234422+-70.999344+42.251696+-71.004973"
"76",13.25,1.600030325,"42.234422+-70.999344+42.252035+-71.00588"
"77",6.86666666666667,0.321248807,"42.234737+-71.011882+42.233238+-71.007244"
"78",17.5,4.860363962,"42.235738+-71.028307+42.251847+-71.005168"
"79",10.55,2.299694071,"42.236417+-71.004919+42.207743+-71.00107"
"80",9.76666666666667,0.468513734,"42.23644+-71.013608+42.233238+-71.007244"
"81",10.85,3.533115506,"42.2366+-70.944211+42.2516+-71.003123"
"82",12.0833333333333,3.766129631,"42.2366+-70.944211+42.251908+-71.0052"
"83",3.21666666666667,1.161342399,"42.237363+-71.132128+42.252026+-71.125219"
"84",8.6,2.468085612,"42.237363+-71.132128+42.270456+-71.120425"
"85",10.3,3.129224356,"42.237363+-71.132128+42.279969+-71.118822"
"86",19.8,4.690108308,"42.237363+-71.132128+42.300479+-71.113634"
"87",5.93333333333333,0.604593983,"42.23795+-71.015132+42.233238+-71.007244"
"88",8.63333333333333,1.792033964,"42.238599+-70.983246+42.251696+-71.004973"
"89",27.7833333333333,6.397635816,"42.238726+-71.180957+42.294688+-71.119267"
"90",30.6,6.910266891,"42.238726+-71.180957+42.300749+-71.114314"
"91",1.16666666666667,0.406376634,"42.239085+-71.132172+42.244466+-71.129544"
"92",19.3333333333333,4.505561121,"42.239085+-71.132172+42.300479+-71.113634"
"93",6.16666666666667,0.731353667,"42.23944+-71.016616+42.233238+-71.007244"
"94",11.6,1.929356955,"42.240337+-70.983788+42.251696+-71.004973"
"95",9.6,1.82683074,"42.240337+-70.983788+42.252035+-71.00588"
"96",8.06666666666667,1.53478637,"42.240464+-70.987378+42.251696+-71.004973"
"97",6.06666666666667,1.432260155,"42.240464+-70.987378+42.252035+-71.00588"
"98",11.2833333333333,3.487755423,"42.240551+-70.944069+42.251908+-71.0052"
"99",10.7333333333333,1.414861767,"42.241031+-71.003354+42.251847+-71.005168"
"100",11.1,3.393307031,"42.241764+-70.944077+42.251908+-71.0052"
"101",20.9833333333333,5.333227293,"42.241968+-71.003612+42.280436+-71.065696"
"102",12.3333333333333,1.483833948,"42.242025+-71.003462+42.251847+-71.005168"
"103",14.4833333333333,2.063573091,"42.242281+-70.983694+42.251696+-71.004973"
"104",15.1666666666667,2.509096098,"42.242378+-71.015376+42.251847+-71.005168"
"105",34.4166666666667,6.603309617,"42.242465+-71.177777+42.300749+-71.114314"
"106",17.2333333333333,2.615350539,"42.242543+-71.017446+42.251847+-71.005168"
"107",9.75,2.778149741,"42.242708+-70.955691+42.251908+-71.0052"
"108",19.8166666666667,4.43658894,"42.242739+-71.019661+42.251847+-71.005168"
"109",9.85,2.829723534,"42.242769+-70.954695+42.251908+-71.0052"
"110",11.3,2.860170713,"42.2428+-70.954102+42.251908+-71.0052"
"111",6.75,1.057573442,"42.242873+-70.996075+42.251696+-71.004973"
"112",4.75,0.955047227,"42.242873+-70.996075+42.252035+-71.00588"
"113",10.2,3.030426367,"42.243008+-70.950785+42.251908+-71.0052"
"114",19.2666666666667,4.4117341,"42.243258+-71.02302+42.251847+-71.005168"
"115",14.3666666666667,3.203167505,"42.243497+-71.1339+42.258812+-71.117831"
"116",9.65,1.189304094,"42.243836+-70.994047+42.251696+-71.004973"
"117",3.08333333333333,0.164663315,"42.243889+-71.176684+42.241888+-71.178422"
"118",12.2166666666667,3.482163084,"42.244064+-70.942085+42.251908+-71.0052"
"119",24.0666666666667,7.411713288,"42.244102+-70.883973+42.251908+-71.0052"
"120",8.61666666666667,0.938891581,"42.24419+-71.002731+42.251696+-71.004973"
"121",9.6,1.176876674,"42.24419+-71.002731+42.251847+-71.005168"
"122",4.35,0.822695204,"42.244321+-70.940195+42.248136+-70.925221"
"123",22.0666666666667,4.538493784,"42.244347+-71.024941+42.251847+-71.005168"
"124",13.4,3.595873977,"42.244496+-70.939946+42.251908+-71.0052"
"125",24.0166666666667,4.639777257,"42.244947+-71.026739+42.251847+-71.005168"
"126",13.4166666666667,2.898074344,"42.245431+-71.031821+42.251847+-71.005168"
"127",29.6,6.337362829,"42.245679+-71.174957+42.300749+-71.114314"
"128",13.7,2.981338058,"42.24645+-71.0327+42.251847+-71.005168"
