"","minutes","miles","uqlatlongid"
"70",27.4166666666667,11.778087305,"42.212953+-71.004648+42.350126+-71.077376"
"71",4.5,1.142079898,"42.215052+-71.004547+42.207743+-71.00107"
"72",27.0166666666667,11.632686491,"42.215052+-71.004547+42.350126+-71.077376"
"73",30,14.233124126,"42.217651+-70.936794+42.352271+-71.055242"
"74",26.5,11.429498174,"42.217701+-71.00306+42.350126+-71.077376"
"75",3.35,0.961882308,"42.219946+-71.027761+42.220488+-71.023648"
"76",3.5,0.794112138,"42.220488+-71.023648+42.225927+-71.031761"
"77",5.15,1.459600479,"42.226141+-71.032004+42.220488+-71.023648"
"78",14.35,9.651134372,"42.22958+-71.030926+42.352271+-71.055242"
"79",21.1666666666667,10.065588829,"42.22958+-71.030926+42.355518+-71.060225"
"80",14.05,9.483364202,"42.23187+-71.029931+42.352271+-71.055242"
"81",21.4333333333333,10.997645329,"42.23187+-71.029931+42.35639457+-71.0624242"
"82",8.93333333333333,1.852306951,"42.231897+-71.005637+42.251847+-71.005168"
"83",21.8166666666667,11.149881224,"42.232065+-71.005795+42.355518+-71.060225"
"84",14.8666666666667,5.041804294,"42.233122+-71.183972+42.265986+-71.121172"
"85",17.5666666666667,5.66690352,"42.233122+-71.183972+42.270468+-71.120666"
"86",18.7333333333333,5.602280936,"42.233122+-71.183972+42.272702+-71.1203"
"87",18.35,5.347518826,"42.233122+-71.183972+42.279888+-71.119028"
"88",21.1166666666667,7.481928211,"42.233122+-71.183972+42.300749+-71.114314"
"89",6.81666666666667,1.85168558,"42.233238+-71.007244+42.238421+-71.025546"
"90",6.93333333333333,1.688265007,"42.233391+-71.007153+42.251809+-71.005409"
"91",17.5833333333333,6.94692778,"42.233391+-71.007153+42.320563+-71.052251"
"92",21.0666666666667,7.985860092,"42.233391+-71.007153+42.330154+-71.057655"
"93",29.3833333333333,10.108463428,"42.233391+-71.007153+42.330714+-71.096023"
"94",31.4,10.539073531,"42.233391+-71.007153+42.334331+-71.104487"
"95",30.85,10.037005763,"42.233391+-71.007153+42.33608+-71.099883"
"96",29.8,10.023335601,"42.233391+-71.007153+42.336377+-71.088961"
"97",31.5,10.330914246,"42.233391+-71.007153+42.337875+-71.09524"
"98",30.8333333333333,9.885391239,"42.233391+-71.007153+42.339897+-71.09021"
"99",25.5,8.625872222,"42.233391+-71.007153+42.342622+-71.056967"
"100",31.1333333333333,10.22776666,"42.233391+-71.007153+42.342687+-71.085056"
"101",33.4166666666667,10.850380402,"42.233391+-71.007153+42.345088+-71.104843"
"102",29.3833333333333,9.772301717,"42.233391+-71.007153+42.34735+-71.075727"
"103",30.5333333333333,13.424720455,"42.233391+-71.007153+42.348949+-71.095169"
"104",30.2833333333333,9.83008922,"42.233391+-71.007153+42.350126+-71.077376"
"105",20.7166666666667,9.43862549,"42.233391+-71.007153+42.352271+-71.055242"
"106",27.5333333333333,9.853701318,"42.233391+-71.007153+42.355518+-71.060225"
"107",28.1,10.952906617,"42.233391+-71.007153+42.35639457+-71.0624242"
"108",25.2666666666667,10.598103776,"42.233391+-71.007153+42.358978+-71.057598"
"109",26.2666666666667,10.728591686,"42.233391+-71.007153+42.359705+-71.059215"
"110",25.1333333333333,11.595404231,"42.233391+-71.007153+42.361269+-71.071678"
"111",30.05,12.677832513,"42.233391+-71.007153+42.362434+-71.085591"
"112",31.95,13.816184185,"42.233391+-71.007153+42.365379+-71.103554"
"113",27.9,11.717814318,"42.233391+-71.007153+42.370958+-71.077416"
"114",33.25,14.077160005,"42.233391+-71.007153+42.373362+-71.118956"
"115",23.5833333333333,11.480450596,"42.233391+-71.007153+42.374067+-71.070929"
"116",40.1833333333333,15.18630724,"42.233391+-71.007153+42.3884+-71.119149"
"117",31.7166666666667,14.021236615,"42.233844+-71.010995+42.345088+-71.104843"
"118",29.8833333333333,12.777251873,"42.233844+-71.010995+42.362434+-71.085591"
"119",6.43333333333333,1.36080249,"42.234422+-70.999344+42.252035+-71.00588"
"120",30.4666666666667,11.738319561,"42.234422+-70.999344+42.35639457+-71.0624242"
"121",2.38333333333333,0.349831873,"42.234737+-71.011882+42.233238+-71.007244"
"122",9.73333333333333,2.716634012,"42.235738+-71.028307+42.251847+-71.005168"
"123",22.6166666666667,11.461809466,"42.236417+-71.004919+42.355518+-71.060225"
"124",29.5166666666667,12.581520008,"42.23644+-71.013608+42.362434+-71.085591"
"125",11.3166666666667,4.148272796,"42.2366+-70.944211+42.184146+-70.955445"
"126",10.8666666666667,3.943220366,"42.2366+-70.944211+42.187111+-70.955589"
"127",10.2833333333333,3.752459469,"42.2366+-70.944211+42.245262+-71.000078"
"128",3.1,1.10604038,"42.237363+-71.132128+42.252026+-71.125219"
"129",8.46666666666667,2.412783593,"42.237363+-71.132128+42.270456+-71.120425"
"130",10.7666666666667,3.07578645,"42.237363+-71.132128+42.279969+-71.118822"
"131",14,5.450666412,"42.237363+-71.132128+42.298067+-71.130313"
"132",15.8833333333333,4.536629671,"42.237363+-71.132128+42.300479+-71.113634"
"133",14.2666666666667,5.706049893,"42.237363+-71.132128+42.300839+-71.127376"
"134",17.6166666666667,6.684087847,"42.237363+-71.132128+42.306545+-71.115144"
"135",36.0833333333333,11.329457443,"42.237363+-71.132128+42.362434+-71.085591"
"136",3.05,0.626963339,"42.23795+-71.015132+42.233238+-71.007244"
"137",24.1,12.622530494,"42.23795+-71.015132+42.362434+-71.085591"
"138",37.1166666666667,15.290076197,"42.23795+-71.015132+42.39674+-71.121815"
"139",22.7666666666667,10.888905404,"42.238599+-70.983246+42.352271+-71.055242"
"140",29.5666666666667,11.303359861,"42.238599+-70.983246+42.355518+-71.060225"
"141",17.1,5.743953524,"42.238726+-71.180957+42.279888+-71.119028"
"142",18.1,5.083436151,"42.238726+-71.180957+42.285028+-71.119007"
"143",19.2333333333333,6.389557993,"42.238726+-71.180957+42.294688+-71.119267"
"144",0.966666666666667,0.39767744,"42.239085+-71.132172+42.244466+-71.129544"
"145",13.3666666666667,5.313343421,"42.239085+-71.132172+42.298067+-71.130313"
"146",15.25,4.399928051,"42.239085+-71.132172+42.300479+-71.113634"
